updated,link,title,description,labels,collection,recomm
,https://data.nasa.gov/,NASA Open Data Portal,"A comprehensive repository of NASA's vast datasets, APIs, and visualizations","Live Data API,Geospatial Data,Inspiration Hub",,
,https://data.imf.org/en,IMF Data Portal,The International Monetary Fund's official data hub. It provides a vast collection of,Live Data API,,
,https://data.humdata.org/,Humanitarian Data Exchange (HDX),A vital open data platform by the UN OCHA. It's the go-to source for,"Live Data API,Geospatial Data",,
,https://data.gov.hk/en/,Hong Kong SAR Gov Data Portal,The official open data portal for Hong Kong. It provides a wide range of machine-readable datasets,"Live Data API,Geospatial Data",,
,https://data.europa.eu/,data.europa.eu,The official portal for European data. It harvests metadata from public data portals,"Live Data API,Geospatial Data",,
,https://data.cma.cn/,China Meteorological Admin,A geospatial data platform from the China Meteorological Administration,"Geospatial Data,Live Data API",,
,https://data-explorer.oecd.org/,OECD Data Explorer,The official data portal for the Organisation for Economic Co-operation and Development,Live Data API,,
,https://daisychung.com/,Daisy Chung's Portfolio,"The professional portfolio of Daisy Chung, an interactive journalist and designer","Inspiration Hub,Flagship Story",,
,https://d3js.org/,D3.js,The foundational JavaScript library for data visualization. D3 (Data-Driven Documents),"Data Viz Library,Creative Code Library",,
,https://d3-graph-gallery.com/,The D3 Graph Gallery,An extensive gallery of chart examples built with the D3.js library,"Design Playbook,Data Viz Library,Inspiration Hub",,
,https://cssgradient.io/,CSS Gradient,"A free, web-based tool for generating beautiful CSS gradients","Production Tool,Data UI Kit",,
,https://comtradeplus.un.org/,UN Comtrade Database,The definitive source for detailed global trade statistics. Maintained by the UN,Live Data API,,
,https://colorleap.app/home,Color Leap,A unique inspiration tool that lets you explore color palettes from different eras in history,"Inspiration Hub,Production Tool,Design Playbook",,
,https://colorkit.co/,Colorkit,"A suite of tools for color management, including a palette generator, gradient editor","Production Tool,Design Playbook",,
,https://colorhunt.co/,Color Hunt,"A free and open platform for color inspiration with thousands of trendy, hand-picked color palettes","Production Tool,Inspiration Hub,Design Playbook",,
,https://cnkgraph.com/Map,CNKGraph,"A powerful, interactive knowledge graph visualization tool","Data Viz Library,Geospatial Data,Production Tool",,
,https://climatetrace.org/explore,Climate TRACE,A groundbreaking platform that uses AI and satellite data to track global greenhouse gas emissions,"Live Data API,Geospatial Data,Flagship Story",,
,https://climate-conflict.org/,Climate Conflict Data,A data portal exploring the intersection of climate-related hazards and political conflict,"Live Data API,Geospatial Data",,
,https://clara.io/library,Clara.io 3D Model Library,The extensive public library of 3D models available on the Clara.io platform,"3D & Immersive Asset,Inspiration Hub",,
,https://clara.io/,Clara.io,"A powerful, browser-based 3D modeling, animation, and rendering tool","3D & Immersive Asset,Production Tool,Creative Code Library",,
,https://chiquiesteban.me/,Chiqui Esteban's Portfolio,"The personal portfolio of Chiqui Esteban, a renowned data visualization editor","Inspiration Hub,Flagship Story,Design Playbook",,
,https://catalog.data.gov/dataset/,Data.gov,The U.S. government's open data site. It provides access to a vast repository of datasets,"Live Data API,Geospatial Data",,
,https://cadmapper.com/,Cadmapper,An invaluable tool for architects and urban planners. Cadmapper provides instant access to,"Geospatial Data,3D & Immersive Asset,Production Tool",,
,https://branding.imaga.ai/,imaga.ai Branding,"An AI-powered tool for generating complete brand identities. It creates unique logos, color palettes, and professional mockups based on text prompts. This is a powerful GenAI production tool for rapidly ideating and visualizing branding concepts.","Production Tool,Inspiration Hub",,
,https://bgjar.com/,BGJar - SVG Background Generator,"A free, web-based tool for creating custom SVG backgrounds. Generate beautiful patterns, shapes, and gradients, and then export the CSS or SVG code directly. A fast and simple production tool for adding visual flair and texture to any project.","Production Tool,Data UI Kit",,
,https://bestwebsite.gallery/,Best Website Gallery,"A highly curated gallery of the web's best-designed sites, filterable by style, color, and framework. It's an endless scroll of inspiration for layout, typography, and interaction design. An essential bookmark for any designer looking to stay current with visual trends.","Inspiration Hub,Design Playbook",,
,https://awesome.cube.dev/,Awesome Cube.js,"A curated list of resources, examples, and tools for Cube.js, a semantic layer for building data applications. This is an essential playbook for developers working with Cube to manage data models and build performant analytics dashboards efficiently.","Design Playbook,Data UI Kit,Data Viz Library",,
,https://awards.journalists.org/,Online Journalism Awards (ONA),"The official showcase for the Online Journalism Awards. This gallery is a goldmine of 'best-in-class' digital journalism, data storytelling, and innovative online features. The ultimate place to see award-winning work and find inspiration from top newsrooms.","Inspiration Hub,Flagship Story",,
,https://atlas.hks.harvard.edu/,The Atlas of Economic Complexity,"A powerful research and data visualization tool from Harvard's Growth Lab. It allows you to explore global trade data, economic complexity, and growth prospects for countries worldwide. A flagship example of complex data made accessible and actionable.","Flagship Story,Geospatial Data,Live Data API",,
,https://apinet.github.io/,AP Data Standards,"The Associated Press's hub for data standards, services, and best practices. This resource is vital for news organizations, providing guidelines and tools for structured journalistic data to ensure consistency, interoperability, and clarity in reporting.","Design Playbook,Production Tool",,
,https://api.nasa.gov/,NASA APIs,"A portal to a vast collection of NASA's public data, including the famous 'Astronomy Picture of the Day' (APOD), satellite imagery, and Mars rover photos. It's an incredible, machine-readable resource for any science-based storytelling project.","Live Data API,Inspiration Hub",,
,https://animejs.com/,Anime.js,"A lightweight and flexible JavaScript animation library. It works seamlessly with CSS properties, SVG, DOM attributes, and JS Objects, making it a powerful tool for choreographing complex, staggered, and interactive animations for the web.","Creative Code Library,Data Viz Library",,
,https://animate.style/,Animate.css,"A plug-and-play library of just-add-water CSS animations. Perfect for adding bounces, fades, and slides to elements without complex code. It's a go-to production tool for quick, performant, and eye-catching micro-interactions on any website or data story.","Data UI Kit,Creative Code Library,Production Tool",,
,https://abduzeedo.com/,Abduzeedo (ABDZ),"A long-running and highly-regarded collective sharing inspiration and tutorials on design, photography, and UX","Inspiration Hub,Design Playbook",,
,https://3d.map.gov.hk/,3D Map Hong Kong,"A high-resolution, interactive 3D mapping platform by the Hong Kong government","Geospatial Data,3D & Immersive Asset,Live Data API",,
,https://2025.uaepavilionexpo.com/en,UAE Pavilion Expo 2025,The official website for the UAE Pavilion at Expo 2025. This site is a premier example of immersive web design,"Flagship Story,Inspiration Hub,3D & Immersive Asset",,
,http://ai2html.org/,ai2html,"A free, open-source script by The New York Times that converts Adobe Illustrator files into responsive, web-friendly HTML","Production Tool,Data UI Kit",,
